City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
103,Chuy,UY,2021-05-25 20:55:53,-33.6971,-53.4616,55.8,75,1,8.19,clear sky
104,Bengkulu,ID,2021-05-25 20:55:54,-3.8004,102.2655,77.07,86,62,3.42,broken clouds
105,Iqaluit,CA,2021-05-25 20:54:41,63.7506,-68.5145,29.93,80,90,20.0,overcast clouds
106,Siloam Springs,US,2021-05-25 20:55:54,36.1881,-94.5405,73.29,88,90,11.5,overcast clouds
107,Hofn,IS,2021-05-25 20:55:54,64.2539,-15.2082,44.76,85,81,14.23,broken clouds
108,Bluff,NZ,2021-05-25 20:55:55,-46.6,168.3333,39.78,67,50,7.05,scattered clouds
109,Rocha,UY,2021-05-25 20:55:55,-34.4833,-54.3333,52.92,71,0,9.8,clear sky
110,Sinnamary,GF,2021-05-25 20:55:55,5.3833,-52.95,80.29,87,100,7.43,light rain
111,Karoi,ZW,2021-05-25 20:55:55,-16.8099,29.6925,52.14,68,0,4.47,clear sky
112,Leningradskiy,RU,2021-05-25 20:55:56,69.3833,178.4167,34.18,88,85,9.15,overcast clouds
113,Karangasem,ID,2021-05-25 20:55:56,-8.45,115.6167,79.68,88,61,4.99,broken clouds
114,Severnoye,RU,2021-05-25 20:55:57,56.3491,78.3619,59.83,74,3,5.21,clear sky
115,Auki,SB,2021-05-25 20:55:57,-8.7676,160.7034,77.94,85,100,8.37,light rain
116,College,US,2021-05-25 20:55:57,64.8569,-147.8028,68.47,36,20,9.22,few clouds
117,Farmington,US,2021-05-25 20:55:57,36.7281,-108.2187,79.86,12,0,5.99,clear sky
118,Ulcinj,ME,2021-05-25 20:55:58,41.9294,19.2244,68.22,66,0,1.83,clear sky
119,Chalisgaon,IN,2021-05-25 20:55:58,20.4667,75.0167,86.5,46,100,13.18,overcast clouds
120,Castro,BR,2021-05-25 20:53:22,-24.7911,-50.0119,52.59,66,59,1.92,broken clouds
121,Khuzhir,RU,2021-05-25 20:55:58,53.1939,107.3397,40.44,86,100,4.72,overcast clouds
122,Portland,US,2021-05-25 20:51:54,45.5234,-122.6762,64.56,84,90,1.01,light rain
123,Salinas,US,2021-05-25 20:52:19,36.6777,-121.6555,83.01,56,1,17.27,clear sky
124,Suntar,RU,2021-05-25 20:55:59,62.1444,117.6319,47.43,65,96,4.38,overcast clouds
125,Longyearbyen,SJ,2021-05-25 20:56:00,78.2186,15.6401,28.24,86,75,13.8,broken clouds
126,Mehamn,NO,2021-05-25 20:56:00,71.0357,27.8492,37.31,70,40,6.78,scattered clouds
127,Port Elizabeth,ZA,2021-05-25 20:56:00,-33.918,25.5701,63.1,88,75,12.66,broken clouds
128,Yatou,CN,2021-05-25 20:56:00,37.15,122.3833,61.68,63,100,20.07,overcast clouds
129,Farah,AF,2021-05-25 20:56:01,32.5,62.5,77.31,16,0,5.44,clear sky
130,Nhulunbuy,AU,2021-05-25 20:56:01,-12.2333,136.7667,77.61,73,21,11.5,few clouds
131,Polson,US,2021-05-25 20:54:02,47.6936,-114.1632,62.49,69,58,5.21,broken clouds
132,Sitka,US,2021-05-25 20:54:02,57.0531,-135.33,52.0,72,96,2.82,light rain
133,Praia,CV,2021-05-25 20:56:02,14.9215,-23.5087,73.94,73,20,17.27,few clouds
134,Poitiers,FR,2021-05-25 20:56:02,46.5833,0.3333,52.25,44,20,10.36,few clouds
135,Road Town,VG,2021-05-25 20:55:35,18.4167,-64.6167,84.24,70,40,11.5,scattered clouds
136,Inirida,CO,2021-05-25 20:56:03,3.8653,-67.9239,72.79,99,100,0.76,overcast clouds
137,Shenjiamen,CN,2021-05-25 20:56:03,29.9576,122.298,68.18,84,100,13.73,light rain
138,Bend,US,2021-05-25 20:54:50,44.0582,-121.3153,59.25,59,75,1.01,broken clouds
139,Salinopolis,BR,2021-05-25 20:56:03,-0.6136,-47.3561,81.75,77,93,12.41,overcast clouds
140,Itarema,BR,2021-05-25 20:56:04,-2.9248,-39.9167,79.16,75,50,13.06,scattered clouds
141,Gat,IL,2021-05-25 20:54:02,31.61,34.7642,79.39,54,0,4.09,clear sky
142,Stornoway,GB,2021-05-25 20:56:04,58.2093,-6.3865,48.92,87,75,14.97,broken clouds
143,Makakilo City,US,2021-05-25 20:56:04,21.3469,-158.0858,83.61,66,20,11.5,few clouds
144,Celestun,MX,2021-05-25 20:56:05,20.8667,-90.4,86.29,66,44,17.36,scattered clouds
145,Ngunguru,NZ,2021-05-25 20:56:05,-35.6167,174.5,58.8,68,83,22.75,broken clouds
146,Krasnoselkup,RU,2021-05-25 20:56:06,65.7,82.4667,28.42,77,15,6.42,few clouds
147,Kongolo,CD,2021-05-25 20:56:06,-5.3833,27.0,69.96,59,28,3.33,scattered clouds
148,Clyde River,CA,2021-05-25 20:56:06,70.4692,-68.5914,28.63,93,100,29.93,overcast clouds
149,Akdepe,TM,2021-05-25 20:56:07,42.0551,59.3788,78.89,24,0,8.1,clear sky
150,Mar Del Plata,AR,2021-05-25 20:53:17,-38.0023,-57.5575,55.42,59,75,8.01,broken clouds
151,Selizharovo,RU,2021-05-25 20:56:07,56.8519,33.4487,49.82,85,98,5.35,overcast clouds
152,Bunia,CD,2021-05-25 20:56:08,1.5667,30.25,64.45,87,35,4.18,scattered clouds
