City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
636,Quatre Cocos,MU,75.31,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
637,Guadalupe Y Calvo,MX,77.52,scattered clouds,26.1,-106.9667,Hotel Pizarro
642,Cayenne,GF,84.24,light rain,4.9333,-52.3333,Hôtel Le Dronmi
645,Kutum,SD,82.2,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
647,Laguna,US,84.9,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
649,Matara,LK,79.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
655,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
659,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
660,Punta Cardon,VE,82.9,overcast clouds,11.6581,-70.215,Bambuda hotel
661,Sechura,PE,77.05,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
666,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
667,Mattru,SL,77.36,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
670,Scottsbluff,US,75.78,scattered clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
